"Iterations","Rewards","Time","Steps"
"314","4.069999999999999","52","95"
"315","3.789999999999999","70","123"
"316","4.22","64","80"
"317","4.6899999999999995","58","33"
"318","4.68","56","34"
"319","4.4799999999999995","65","54"
"320","4.609999999999999","79","41"
"321","-6.900000000000001","109","192"
"322","4.35","76","67"
"323","4.31","54","71"
"324","4.569999999999999","73","45"
"325","4.85","81","17"
"326","4.8","68","22"
"327","-0.5499999999999261","69","557"
"328","-5.17","58","19"
"329","4.75","64","27"
"330","4.7299999999999995","58","29"
"331","4.72","61","30"
"332","4.74","70","28"
"333","4.81","58","21"
"334","4.75","61","27"
"335","4.79","62","23"
"336","4.84","64","18"
"337","3.919999999999999","63","110"
"338","4.8","50","22"
"339","4.34","76","68"
"340","-5.390000000000001","73","41"
"341","4.82","61","20"
"342","-5.23","61","25"
"343","-5.32","94","34"
"344","-5.25","51","27"
"345","4.51","60","51"
"346","4.5","78","52"
"347","4.72","61","30"
"348","4.74","57","28"
"349","4.8","79","22"
"350","3.1999999999999984","70","182"
"351","4.8","65","22"
"352","4.6899999999999995","114","33"
"353","4.81","96","21"
"354","4.569999999999999","81","45"
"355","-5.880000000000001","68","90"
"356","4.67","126","35"
"357","3.9699999999999993","99","105"
"358","4.68","86","34"
"359","4.81","70","21"
"360","4.31","61","71"
"361","4.8","62","22"
"362","4.83","78","19"
"363","4.6899999999999995","87","33"
"364","4.84","54","18"
"365","4.51","78","51"
"366","-5.2","81","22"
"367","4.78","100","24"
"368","4.7299999999999995","108","29"
"369","4.64","73","38"
"370","4.7299999999999995","72","29"
"371","3.799999999999999","76","122"
"372","3.999999999999999","90","102"
"373","4.79","83","23"
"374","-5.53","82","55"
"375","4.72","79","30"
"376","3.9499999999999993","83","107"
"377","4.64","96","38"
"378","4.84","84","18"
"379","4.78","62","24"
"380","4.76","80","26"
"381","4.449999999999999","82","57"
"382","-5.24","71","26"
"383","-5.24","80","26"
"384","4.209999999999999","90","81"
"385","-5.65","85","67"
"386","-5.48","65","50"
"387","4.46","105","56"
"388","4.84","81","18"
"389","4.31","107","71"
"390","-5.49","96","51"
"391","-5.5600000000000005","81","58"
"392","-5.28","70","30"
"393","4.25","73","77"
"394","-5.34","91","36"
"395","4.68","71","34"
"396","4.77","80","25"
"397","4.64","71","38"
"398","-5.3","78","32"
"399","4.82","102","20"
"400","3.8599999999999994","96","116"
"401","4.77","105","25"
"402","4.7299999999999995","77","29"
"403","4.82","78","20"
"404","-5.21","86","23"
"405","4.6899999999999995","79","33"
"406","4.62","91","40"
"407","4.64","98","38"
"408","4.77","82","25"
"409","4.83","76","19"
"410","4.79","73","23"
"411","4.81","85","21"
"412","4.64","83","38"
"413","-6.520000000000001","89","154"
"414","4.75","74","27"
"415","4.78","73","24"
"416","-5.29","86","31"
"417","3.419999999999999","118","160"
"418","4.77","100","25"
"419","-5.54","70","56"
"420","4.6","93","42"
"421","4.8","93","22"
"422","4.529999999999999","83","49"
"423","4.84","93","18"
"424","3.9399999999999995","108","108"
"425","4.55","65","47"
"426","4.7299999999999995","84","29"
"427","4.33","95","69"
"428","4.6899999999999995","87","33"
"429","3.9399999999999995","81","108"
"430","4.76","74","26"
"431","-5.470000000000001","82","49"
"432","4.81","104","21"
"433","4.79","82","23"
"434","4.78","68","24"
"435","-5.16","90","18"
"436","4.76","128","26"
"437","4.52","102","50"
"438","4.79","75","23"
"439","4.66","74","36"
"440","4.64","96","38"
"441","4.85","92","17"
"442","4.76","92","26"
"443","4.71","79","31"
"444","4.77","101","25"
"445","4.71","104","31"
"446","4.4399999999999995","76","58"
"447","4.67","81","35"
"448","4.8","78","22"
"449","4.64","89","38"
"450","-7.449999999999992","104","247"
"451","4.609999999999999","84","41"
"452","4.79","92","23"
"453","4.1499999999999995","94","87"
"454","4.34","82","68"
"455","4.72","93","30"
"456","4.68","101","34"
"457","-5.36","109","38"
"458","-5.61","86","63"
"459","-5.17","82","19"
"460","4.71","93","31"
"461","4.59","110","43"
"462","-5.37","92","39"
"463","3.1899999999999986","101","183"
"464","4.81","99","21"
"465","4.76","97","26"
"466","4.6499999999999995","98","37"
"467","-5.390000000000001","94","41"
"468","-6.860000000000001","107","188"
"469","4.82","105","20"
"470","4.67","123","35"
"471","4.74","105","28"
"472","4.6499999999999995","100","37"
"473","4.62","81","40"
"474","4.569999999999999","92","45"
"475","-5.19","96","21"
"476","4.76","105","26"
"477","-5.58","74","60"
"478","4.52","105","50"
"479","4.01","112","101"
"480","-5.3","103","32"
"481","4.31","120","71"
"482","3.799999999999999","80","122"
"483","-5.26","83","28"
"484","4.68","124","34"
"485","-5.18","93","20"
"486","4.75","99","27"
"487","-5.5","109","52"
"488","-5.61","88","63"
"489","-5.24","124","26"
"490","4.289999999999999","118","73"
"491","4.64","101","38"
"492","4.76","100","26"
"493","4.56","102","46"
"494","4.7","93","32"
"495","4.1899999999999995","103","83"
"496","4.64","107","38"
"497","3.919999999999999","99","110"
"498","4.77","86","25"
